structure,pdb,fv,success,reason_for_failure,location_of_failure
7s07_X0-Y0,7s07,X0-Y0,True,,
7s07_H0-L0,7s07,H0-L0,True,,
7s08_H0-L0,7s08,H0-L0,True,,
7s08_A0-B0,7s08,A0-B0,True,,
7s0b_A0-B0,7s0b,A0-B0,True,,
7s0b_C0-D0,7s0b,C0-D0,True,,
7s0c_H0-L0,7s0c,H0-L0,True,,
7s0c_M0-N0,7s0c,M0-N0,True,,
7s0d_H0-L0,7s0d,H0-L0,True,,
7s0d_M0-N0,7s0d,M0-N0,True,,
7s0d_O0-P0,7s0d,O0-P0,True,,
7s0e_H0-L0,7s0e,H0-L0,True,,
7s0x_H0-L0,7s0x,H0-L0,True,,
7s0x_C0-D0,7s0x,C0-D0,True,,
7s11_J0-N0,7s11,J0-N0,True,,
7s11_K0-O0,7s11,K0-O0,True,,
7s11_H0-L0,7s11,H0-L0,True,,
7s11_I0-M0,7s11,I0-M0,True,,
7s13_H0-L0,7s13,H0-L0,True,,
7s13_I0-M0,7s13,I0-M0,True,,
7s1b_X0-Y0,7s1b,X0-Y0,True,,
7s1b_H0-L0,7s1b,H0-L0,True,,
7s1m_N0,7s1m,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7s3i_N0,7s3i,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7s3m_H0-L0,7s3m,H0-L0,True,,
7s3n_H0-L0,7s3n,H0-L0,True,,
7s4g_A0-B0,7s4g,A0-B0,True,,
7s4g_C0-D0,7s4g,C0-D0,True,,
7s4g_E0-F0,7s4g,E0-F0,True,,
7s4g_H0-L0,7s4g,H0-L0,True,,
7jv6_H0-L0,7jv6,H0-L0,True,,
7jv6_C0-D0,7jv6,C0-D0,True,,
7jv6_F0-G0,7jv6,F0-G0,True,,
7s5p_H0-L0,7s5p,H0-L0,True,,
7s6c_E0-G0,7s6c,E0-G0,True,,
7s6c_H0-F0,7s6c,H0-F0,True,,
5g5r_B0,5g5r,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7usv_D0,7usv,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7usv_C0,7usv,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7s6d_E0-G0,7s6d,E0-G0,True,,
7s6d_D0-F0,7s6d,D0-F0,True,,
7czd_A0,7czd,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7czd_C0,7czd,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8j7x_E0-C0,8j7x,E0-C0,True,,
8j7x_F0-D0,8j7x,F0-D0,True,,
7f0x_B0-B1,7f0x,B0-B1,True,,
5i8h_K0-L0,5i8h,K0-L0,True,,
5i8h_I0-J0,5i8h,I0-J0,True,,
5i8h_E0-F0,5i8h,E0-F0,True,,
5i8h_G0-H0,5i8h,G0-H0,True,,
2cju_H0-L0,2cju,H0-L0,True,,
8j7t_E0-C0,8j7t,E0-C0,True,,
8j7t_F0-D0,8j7t,F0-D0,True,,
8iod_N0,8iod,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8q6j_B0-A0,8q6j,B0-A0,True,,
8q6j_D0-C0,8q6j,D0-C0,True,,
8bw7_B0,8bw7,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8g4n_H0-L0,8g4n,H0-L0,True,,
8g4n_J0-K0,8g4n,J0-K0,True,,
8g4o_H0-L0,8g4o,H0-L0,True,,
8g4o_J0-K0,8g4o,J0-K0,True,,
4hpo_H0-L0,4hpo,H0-L0,True,,
8dam_B0,8dam,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dam_C0,8dam,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8gpx_H0-L0,8gpx,H0-L0,True,,
8j80_E0-C0,8j80,E0-C0,True,,
8j80_F0-D0,8j80,F0-D0,True,,
4hpy_H0-L0,4hpy,H0-L0,True,,
6ck8_A0,6ck8,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6ck8_B0,6ck8,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6ck8_C0,6ck8,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4rfe_H0-L0,4rfe,H0-L0,True,,
4rfe_C0-D0,4rfe,C0-D0,True,,
4rfe_E0-F0,4rfe,E0-F0,True,,
4rfe_A0-B0,4rfe,A0-B0,True,,
8hqn_H0-H1,8hqn,H0-H1,True,,
6avn_H0-L0,6avn,H0-L0,True,,
6vep_C0-D0,6vep,C0-D0,True,,
6vep_I0-J0,6vep,I0-J0,True,,
6vep_O0-P0,6vep,O0-P0,True,,
6vep_U0-V0,6vep,U0-V0,True,,
4qhk_M0-N0,4qhk,M0-N0,True,,
4qhk_I0-J0,4qhk,I0-J0,True,,
4qhk_O0-P0,4qhk,O0-P0,True,,
4qhk_K0-L0,4qhk,K0-L0,True,,
4qhm_E0-F0,4qhm,E0-F0,True,,
4qhm_A0-B0,4qhm,A0-B0,True,,
4qhm_C0-D0,4qhm,C0-D0,True,,
4qhm_G0-H0,4qhm,G0-H0,True,,
6avr_H0-L0,6avr,H0-L0,True,,
6vgr_H0-L0,6vgr,H0-L0,True,,
6vgr_C0-D0,6vgr,C0-D0,True,,
6vi0_H0-L0,6vi0,H0-L0,True,,
6vi0_K0-J0,6vi0,K0-J0,True,,
6vi0_E0-D0,6vi0,E0-D0,True,,
6vi1_E0-D0,6vi1,E0-D0,True,,
6vi1_B0-A0,6vi1,B0-A0,True,,
6vi1_F0-C0,6vi1,F0-C0,True,,
6vi1_H0-G0,6vi1,H0-G0,True,,
6vi1_J0-I0,6vi1,J0-I0,True,,
6vi1_L0-K0,6vi1,L0-K0,True,,
5i8k_H0-L0,5i8k,H0-L0,True,,
6vi2_B0-A0,6vi2,B0-A0,True,,
6vi2_D0-C0,6vi2,D0-C0,True,,
6vi4_C0,6vi4,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6vi4_D0,6vi4,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6awq_B0-C0,6awq,B0-C0,True,,
4hqq_H0-L0,4hqq,H0-L0,True,,
6vja_H0-L0,6vja,H0-L0,True,,
6vja_I0-M0,6vja,I0-M0,True,,
6wzl_A0-B0,6wzl,A0-B0,True,,
6wzl_C0-D0,6wzl,C0-D0,True,,
4lsu_H0-L0,4lsu,H0-L0,True,,
8dzq_E0-E1,8dzq,E0-E1,True,,
7k7i_H0-L0,7k7i,H0-L0,True,,
7k7i_J0-K0,7k7i,J0-K0,True,,
7k7i_M0-N0,7k7i,M0-N0,True,,
7k7i_P0-Q0,7k7i,P0-Q0,True,,
7k7i_X0-Y0,7k7i,X0-Y0,True,,
5yup_H0-L0,5yup,H0-L0,True,,
3h3b_C1-C0,3h3b,C1-C0,True,,
3h3b_D1-D0,3h3b,D1-D0,True,,
6vjn_H0-L0,6vjn,H0-L0,True,,
6vjt_H0-L0,6vjt,H0-L0,True,,
6vkn_H0-L0,6vkn,H0-L0,True,,
6vkn_G0-J0,6vkn,G0-J0,True,,
6vkn_I0-K0,6vkn,I0-K0,True,,
6vl8_A0-B0,6vl8,A0-B0,True,,
6vl8_C0-D0,6vl8,C0-D0,True,,
6vl8_E0-F0,6vl8,E0-F0,True,,
6vl8_H0-L0,6vl8,H0-L0,True,,
6vl9_H0-L0,6vl9,H0-L0,True,,
6vl9_A0-B0,6vl9,A0-B0,True,,
5i8o_H0-L0,5i8o,H0-L0,True,,
6vln_H0-L0,6vln,H0-L0,True,,
8cde_D0-C0,8cde,D0-C0,True,,
8bg2_A0-A1,8bg2,A0-A1,True,,
8bg2_C0-C1,8bg2,C0-C1,True,,
5ibl_C0-D0,5ibl,C0-D0,True,,
5ibl_H0-L0,5ibl,H0-L0,True,,
6vlr_D0-K0,6vlr,D0-K0,True,,
6vlr_E0-M0,6vlr,E0-M0,True,,
6vlr_C0-L0,6vlr,C0-L0,True,,
6vlr_F0-N0,6vlr,F0-N0,True,,
7lyw_A0-B0,7lyw,A0-B0,True,,
7lyw_C0-D0,7lyw,C0-D0,True,,
7lyw_H0-L0,7lyw,H0-L0,True,,
7m1c_H0-L0,7m1c,H0-L0,True,,
7m1h_B0,7m1h,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7m1h_C0,7m1h,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7m1h_D0,7m1h,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7m1h_E0,7m1h,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7m1h_F0,7m1h,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7m1h_G0,7m1h,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7m2h_A0-B0,7m2h,A0-B0,True,,
7m2h_D0-E0,7m2h,D0-E0,True,,
7m2i_A0-B0,7m2i,A0-B0,True,,
7m2j_A0-B0,7m2j,A0-B0,True,,
7m30_F0-G0,7m30,F0-G0,True,,
7m30_H0-L0,7m30,H0-L0,True,,
7m30_M0-N0,7m30,M0-N0,True,,
7m3i_A0-B0,7m3i,A0-B0,True,,
7m3i_H0-L0,7m3i,H0-L0,True,,
7m3l_H20-L20,7m3l,H20-L20,True,,
7m3n_H0-L0,7m3n,H0-L0,True,,
7m42_B0-A0,7m42,B0-A0,True,,
7m42_D0-C0,7m42,D0-C0,True,,
7m51_H0-L0,7m51,H0-L0,True,,
7m52_H0-L0,7m52,H0-L0,True,,
7m53_H0-L0,7m53,H0-L0,True,,
7m6d_A0-B0,7m6d,A0-B0,True,,
7m6d_H0-L0,7m6d,H0-L0,True,,
7m6e_D0-C0,7m6e,D0-C0,True,,
7m6e_F0-G0,7m6e,F0-G0,True,,
7m6e_H0-L0,7m6e,H0-L0,True,,
7m6f_C0-D0,7m6f,C0-D0,True,,
7m6f_H0-L0,7m6f,H0-L0,True,,
7m6g_H0-L0,7m6g,H0-L0,True,,
7m6g_R0-S0,7m6g,R0-S0,True,,
7m6h_D0-F0,7m6h,D0-F0,True,,
7m6h_E0-G0,7m6h,E0-G0,True,,
7m6i_H0-L0,7m6i,H0-L0,True,,
7m6i_M0-N0,7m6i,M0-N0,True,,
7m71_H0-L0,7m71,H0-L0,True,,
7m74_H0-L0,7m74,H0-L0,True,,
7m74_N0,7m74,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7m7b_H0-L0,7m7b,H0-L0,True,,
7m7e_C0-D0,7m7e,C0-D0,True,,
7m7f_C0-D0,7m7f,C0-D0,True,,
7m7f_E0-F0,7m7f,E0-F0,True,,
7m7g_E0-F0,7m7g,E0-F0,True,,
7m7g_C0-D0,7m7g,C0-D0,True,,
7m7h_C0-D0,7m7h,C0-D0,True,,
7m7h_E0-F0,7m7h,E0-F0,True,,
7m7i_C0-D0,7m7i,C0-D0,True,,
7m7i_E0-F0,7m7i,E0-F0,True,,
7m7j_C0-D0,7m7j,C0-D0,True,,
7m7j_E0-F0,7m7j,E0-F0,True,,
7m7w_A0-B0,7m7w,A0-B0,True,,
7m7w_H0-L0,7m7w,H0-L0,True,,
7m7w_C0-D0,7m7w,C0-D0,True,,
7m7w_E0-F0,7m7w,E0-F0,True,,
7m8j_H0-L0,7m8j,H0-L0,True,,
6lz4_A0-B0,6lz4,A0-B0,True,,
6lz4_D0-E0,6lz4,D0-E0,True,,
6xux_A0,6xux,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7m8l_G0-J0,7m8l,G0-J0,True,,
7m8l_H0-K0,7m8l,H0-K0,True,,
7m8l_I0-L0,7m8l,I0-L0,True,,
7m8l_M0-P0,7m8l,M0-P0,True,,
7m8l_N0-Q0,7m8l,N0-Q0,True,,
7m8l_O0-R0,7m8l,O0-R0,True,,
7mbx_N0,7mbx,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7mdj_A0-B0,7mdj,A0-B0,True,,
7mdp_H0-I0,7mdp,H0-I0,True,,
7mdt_H0-L0,7mdt,H0-L0,True,,
1fbi_Q0-P0,1fbi,Q0-P0,True,,
1fbi_H0-L0,1fbi,H0-L0,True,,
1fdl_H0-L0,1fdl,H0-L0,True,,
7mdu_H0-L0,7mdu,H0-L0,True,,
7mdu_E0-F0,7mdu,E0-F0,True,,
7mdw_A0,7mdw,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7mdw_B0,7mdw,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7me7_A0,7me7,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7me7_B0,7me7,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7mej_A0,7mej,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7mej_B0,7mej,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7mem_H0-L0,7mem,H0-L0,True,,
7mem_G0-J0,7mem,G0-J0,True,,
7mem_I0-K0,7mem,I0-K0,True,,
7mep_I0-G0,7mep,I0-G0,True,,
7mep_M0-J0,7mep,M0-J0,True,,
7mep_N0-K0,7mep,N0-K0,True,,
7mep_H0-L0,7mep,H0-L0,True,,
1g7i_B0-A0,1g7i,B0-A0,True,,
6y0e_B0,6y0e,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
6y0e_A0,6y0e,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7mf8_H0-L0,7mf8,H0-L0,True,,
7mf9_H0-L0,7mf9,H0-L0,True,,
7mf9_C0-D0,7mf9,C0-D0,True,,
7mf9_G0-I0,7mf9,G0-I0,True,,
7mf9_M0-N0,7mf9,M0-N0,True,,
7mf9_Q0-R0,7mf9,Q0-R0,True,,
8djm_H0-L0,8djm,H0-L0,True,,
8dk5_K0-K1,8dk5,K0-K1,True,,
8dk5_N0-N1,8dk5,N0-N1,True,,
8dke_A0-B0,8dke,A0-B0,True,,
8dkf_H0-L0,8dkf,H0-L0,True,,
8dkf_A0-B0,8dkf,A0-B0,True,,
4gq9_H0-L0,4gq9,H0-L0,True,,
8dki_A0-B0,8dki,A0-B0,True,,
8dkm_A0-B0,8dkm,A0-B0,True,,
8dkw_A0-B0,8dkw,A0-B0,True,,
8dkx_A0-B0,8dkx,A0-B0,True,,
8dl6_D0-C0,8dl6,D0-C0,True,,
4gqp_H0-H1,4gqp,H0-H1,True,,
8dl8_D0-C0,8dl8,D0-C0,True,,
8dlr_H0-L0,8dlr,H0-L0,True,,
8dls_H0-L0,8dls,H0-L0,True,,
8dlw_C0-D0,8dlw,C0-D0,True,,
8dlw_F0-G0,8dlw,F0-G0,True,,
8dlw_H0-L0,8dlw,H0-L0,True,,
8dlx_H0,8dlx,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dly_H0,8dly,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4grw_E0,4grw,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4grw_G0,4grw,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4grw_J0,4grw,J0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4grw_F0,4grw,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4grw_H0,4grw,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
4grw_I0,4grw,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dlz_H0,8dlz,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dm0_H0,8dm0,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dm3_H0-L0,8dm3,H0-L0,True,,
8dm3_M0-N0,8dm3,M0-N0,True,,
8dm3_P0-Q0,8dm3,P0-Q0,True,,
7ur4_F0-G0,7ur4,F0-G0,True,,
7ur4_H0-L0,7ur4,H0-L0,True,,
7ur4_I0-J0,7ur4,I0-J0,True,,
8dm4_H0-L0,8dm4,H0-L0,True,,
8dmh_F0-E0,8dmh,F0-E0,True,,
8dmh_H0-G0,8dmh,H0-G0,True,,
8dmh_J0-I0,8dmh,J0-I0,True,,
8dmj_D0-E0,8dmj,D0-E0,True,,
8dmj_H0-L0,8dmj,H0-L0,True,,
7udh_E0-F0,7udh,E0-F0,True,,
7udh_H0-L0,7udh,H0-L0,True,,
1ymh_B0-A0,1ymh,B0-A0,True,,
1ymh_D0-C0,1ymh,D0-C0,True,,
5i30_H0-L0,5i30,H0-L0,True,,
7urx_H0-L0,7urx,H0-L0,True,,
8dow_C0-D0,8dow,C0-D0,True,,
8dow_G0-H0,8dow,G0-H0,True,,
8dow_K0-L0,8dow,K0-L0,True,,
4gsd_H0-L0,4gsd,H0-L0,True,,
8dp0_B0,8dp0,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dp1_R0-M0,8dp1,R0-M0,True,,
8dp1_E0-F0,8dp1,E0-F0,True,,
8dp1_N0-O0,8dp1,N0-O0,True,,
8dpf_E0-E1,8dpf,E0-E1,True,,
3gjf_H0-L0,3gjf,H0-L0,True,,
3gjf_M0-K0,3gjf,M0-K0,True,,
7y1f_E0-E1,7y1f,E0-E1,True,,
8dpg_E0-E1,8dpg,E0-E1,True,,
8dph_E0-E1,8dph,E0-E1,True,,
8dpi_E0-E1,8dpi,E0-E1,True,,
8dpz_F0-G0,8dpz,F0-G0,True,,
8dqu_B0,8dqu,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dqu_A0,8dqu,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8ds5_C0-B0,8ds5,C0-B0,True,,
8dt3_H0-L0,8dt3,H0-L0,True,,
8dt8_H0,8dt8,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dt8_D0,8dt8,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dtk_C0-B0,8dtk,C0-B0,True,,
8dtn_A0,8dtn,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dtn_C0,8dtn,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dtn_E0,8dtn,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dtn_G0,8dtn,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dtu_A0,8dtu,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8dua_H0-L0,8dua,H0-L0,True,,
8dua_D0-E0,8dua,D0-E0,True,,
8dua_J0-K0,8dua,J0-K0,True,,
8dul_H0-L0,8dul,H0-L0,True,,
8dun_H0-L0,8dun,H0-L0,True,,
8dun_I0-M0,8dun,I0-M0,True,,
8dun_N0-O0,8dun,N0-O0,True,,
3a67_H0-L0,3a67,H0-L0,True,,
8ucd_H0-L0,8ucd,H0-L0,True,,
3dsf_H0-L0,3dsf,H0-L0,True,,
8gse_H0-L0,8gse,H0-L0,True,,
8t06_C0-D0,8t06,C0-D0,True,,
8t06_E0-F0,8t06,E0-F0,True,,
8so3_H0-L0,8so3,H0-L0,True,,
8so3_Y0-Z0,8so3,Y0-Z0,True,,
8gb6_H0-L0,8gb6,H0-L0,True,,
8tea_H0-G0,8tea,H0-G0,True,,
8tea_F0-I0,8tea,F0-I0,True,,
8gur_S0-S1,8gur,S0-S1,True,,
8g9x_H0-L0,8g9x,H0-L0,True,,
8tco_E0-D0,8tco,E0-D0,True,,
8tco_F0-G0,8tco,F0-G0,True,,
8fmz_E0-E1,8fmz,E0-E1,True,,
8h8q_H0-L0,8h8q,H0-L0,True,,
8j19_S0-S1,8j19,S0-S1,True,,
8itl_N0,8itl,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8hix_N0,8hix,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8eka_H0-L0,8eka,H0-L0,True,,
8eka_A0-B0,8eka,A0-B0,True,,
8eka_C0-D0,8eka,C0-D0,True,,
8fax_A0-B0,8fax,A0-B0,True,,
8spu_N0-N1,8spu,N0-N1,True,,
8spu_K0-K1,8spu,K0-K1,True,,
8h2g_E0-E1,8h2g,E0-E1,True,,
8iva_C0-E0,8iva,C0-E0,True,,
8iva_H0-L0,8iva,H0-L0,True,,
3qnx_B0-A0,3qnx,B0-A0,True,,
8jlj_S0-S1,8jlj,S0-S1,True,,
8i0z_D0-E0,8i0z,D0-E0,True,,
8i0z_H0-L0,8i0z,H0-L0,True,,
8i0z_M0-N0,8i0z,M0-N0,True,,
8ejc_E0-E1,8ejc,E0-E1,True,,
8ef1_H0-L0,8ef1,H0-L0,True,,
8ejh_H0-L0,8ejh,H0-L0,True,,
8ejh_J0-K0,8ejh,J0-K0,True,,
8ejh_h0-l0,8ejh,h0-l0,True,,
8i0q_H0-L0,8i0q,H0-L0,True,,
8i0q_I0-M0,8i0q,I0-M0,True,,
8jlk_S0-S1,8jlk,S0-S1,True,,
8f0j_N0,8f0j,N0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8hn7_B0-A0,8hn7,B0-A0,True,,
8hn7_D0-C0,8hn7,D0-C0,True,,
8fdo_A0-B0,8fdo,A0-B0,True,,
8fr6_D0-E0,8fr6,D0-E0,True,,
8fr6_H0-L0,8fr6,H0-L0,True,,
8fr6_J0-K0,8fr6,J0-K0,True,,
8gjn_A0-B0,8gjn,A0-B0,True,,
7ycy_D0-E0,7ycy,D0-E0,True,,
7ycy_F0-G0,7ycy,F0-G0,True,,
7ycy_H0-I0,7ycy,H0-I0,True,,
8smt_A0-B0,8smt,A0-B0,True,,
8smt_D0-F0,8smt,D0-F0,True,,
8smt_H0-L0,8smt,H0-L0,True,,
8smt_I0-J0,8smt,I0-J0,True,,
8hc2_H0-L0,8hc2,H0-L0,True,,
7xei_C0-D0,7xei,C0-D0,True,,
7xei_E0-F0,7xei,E0-F0,True,,
8fis_H0-L1,8fis,H0-L1,True,,
8fis_J0,8fis,J0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8fis_J1,8fis,J1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
8fis_L0,8fis,L0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8fis_I0,8fis,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8fis_I1,8fis,I1,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
8hbd_H0-H1,8hbd,H0-H1,True,,
8ejj_H0-L0,8ejj,H0-L0,True,,
8ejj_I0-J0,8ejj,I0-J0,True,,
8ejj_h0-l0,8ejj,h0-l0,True,,
3eak_A0,3eak,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3eak_B0,3eak,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8j7y_E0-C0,8j7y,E0-C0,True,,
8j7y_F0-D0,8j7y,F0-D0,True,,
8gsc_H0-L0,8gsc,H0-L0,True,,
8ibu_E0-E1,8ibu,E0-E1,True,,
8id3_S0-S1,8id3,S0-S1,True,,
8fe4_H0-L0,8fe4,H0-L0,True,,
8fe4_M0-N0,8fe4,M0-N0,True,,
8fe4_O0-P0,8fe4,O0-P0,True,,
8f7x_E0-E1,8f7x,E0-E1,True,,
8hsc_F0-E0,8hsc,F0-E0,True,,
8hsc_S0-S1,8hsc,S0-S1,True,,
8kh5_E0,8kh5,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n65_C0-D0,7n65,C0-D0,True,,
7n65_G0-H0,7n65,G0-H0,True,,
7n65_K0-L0,7n65,K0-L0,True,,
7n6p_H0-L0,7n6p,H0-L0,True,,
7n6p_A0-B0,7n6p,A0-B0,True,,
7n8h_E0-D0,7n8h,E0-D0,True,,
7n8h_H0-G0,7n8h,H0-G0,True,,
7n8h_M0-L0,7n8h,M0-L0,True,,
7n8h_O0-N0,7n8h,O0-N0,True,,
7n8h_C0-B0,7n8h,C0-B0,True,,
7n8h_J0-I0,7n8h,J0-I0,True,,
7a4t_A0,7a4t,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
1qp1_B0-C0,1qp1,B0-C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL-VL'.,VH-VL check
1qp1_A0,1qp1,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
7a4y_A0,7a4y,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7a4y_C0,7a4y,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7a4y_B0,7a4y,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n8i_H0-L0,7n8i,H0-L0,True,,
1qyg_H0-L0,1qyg,H0-L0,True,,
1r0a_H0-L0,1r0a,H0-L0,True,,
7n9a_A0,7n9a,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9b_D0,7n9b,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9b_F0,7n9b,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9c_D0,7n9c,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9c_E0,7n9c,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
5my6_B0,5my6,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
1r24_B0-A0,1r24,B0-A0,True,,
1r24_D0-C0,1r24,D0-C0,True,,
7n9e_D0,7n9e,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9t_D0,7n9t,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9t_E0,7n9t,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9t_F0,7n9t,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9u_D0,7n9u,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9u_E0,7n9u,E0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9u_F0,7n9u,F0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9x_FFF0,7n9x,FFF0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9x_EEE0,7n9x,EEE0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7n9x_DDD0,7n9x,DDD0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
7na7_N0-N1,7na7,N0-N1,True,,
7na8_N0-N1,7na8,N0-N1,True,,
